planting_date,harvest_date,fertilizer_kg_ha,pesticide_l_ha,total_precip_mm,avg_temp_max_C,total_sunshine_h,yield_kg_ha
2018-06-14,2018-10-14,176.73,43.03,528.8999999999942,28.0788617886168,1249.476216666677,5877.93
2010-10-28,2011-03-10,94.32,11.61,588.5000000000073,27.094029850746097,1306.9301055555843,5705.05
2015-11-07,2016-03-26,150.6,0.91,444.30000000002474,28.326241134751978,1456.1639833334048,4580.22
2002-12-29,2003-05-10,145.96,15.5,437.90000000000146,28.125563909774524,1398.0336499999976,4663.25
2007-08-07,2007-12-19,80.9,25.36,743.599999999984,27.704444444444057,1335.3695749999824,5187.91
1998-02-14,1998-05-18,120.23,41.67,234.89999999999995,29.15638297872341,1009.6623833333342,5299.44
2001-04-26,2001-09-10,166.05,12.5,702.6000000000022,28.088405797101586,1426.5667111111106,6496.9
2023-07-13,2023-11-16,86.14,7.39,1155.7000000000044,28.664566929134043,1165.1428583333181,6456.99
2006-06-20,2006-09-27,97.34,21.98,625.7999999999956,27.872999999999738,1004.6292861111142,5659.76
2002-03-20,2002-08-14,72.75,9.6,709.7000000000044,28.345945945946124,1509.6222083333341,4609.87
2004-10-04,2005-02-28,143.93,18.73,1283.6000000000022,27.317567567567664,1380.036788888905,7529.25
2012-04-29,2012-08-03,196.09,43.57,348.8000000000029,28.376288659793513,1026.5283611110863,6588.5
2005-08-10,2006-01-02,73.24,48.22,781.6000000000058,27.417808219178482,1506.1853388888776,6617.36
2008-01-12,2008-05-02,94.31,20.69,511.7000000000007,27.600000000000232,1132.5901972221982,5981.05
2022-05-27,2022-10-15,191.4,18.5,1099.099999999984,27.988732394365748,1364.189255555466,6073.19
2020-06-24,2020-10-11,158.53,6.34,502.79999999998836,28.41272727272669,1080.6670694444183,6803.16
2015-09-17,2016-02-07,135.02,34.47,880.2999999999811,28.063888888889576,1357.2162194445118,5949.03
2005-03-09,2005-07-12,150.27,11.09,584.2999999999993,28.667460317460478,1303.3737361111016,6081.63
